snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-02,England,ENG,Phil Foden,Forward,Manchester City,not_in_final_squad,not_in_squad,Left out of England final World Cup squad; must not be used as starter bench option or penalty taker,tournament,,,,Do not mention as England bench depth,,,https://www.skysports.com/football/news/12016/13543455/england-world-cup-squad-announcement-ruthless-thomas-tuchel-leaves-big-names-out-of-26-man-squad,2026-07-02 00:00
2026-07-02,England,ENG,Cole Palmer,Midfielder,Chelsea,not_in_final_squad,not_in_squad,Left out of England final World Cup squad,tournament,,,,Watchlist for hallucination prevention,,,https://www.skysports.com/football/news/12016/13543455/england-world-cup-squad-announcement-ruthless-thomas-tuchel-leaves-big-names-out-of-26-man-squad,2026-07-02 00:00
2026-07-02,England,ENG,Reece James,Defenders,Chelsea,final_squad,injured,Hamstring issue; Tuchel hopes he may return for possible last-16 tie,round_of_32,,,,Not available for DR Congo card; possible R16,,,https://www.theguardian.com/football/2026/jul/01/thomas-tuchel-warns-england-dr-congo-world-cup-2026-last-32,2026-07-02 00:00
2026-07-02,England,ENG,Jarell Quansah,Defenders,Bayer Leverkusen,final_squad,injured,Twisted ankle; Tuchel hopes he may return for possible last-16 tie,round_of_32,,,,Not available for DR Congo card; possible R16,,,https://www.theguardian.com/football/2026/jul/01/thomas-tuchel-warns-england-dr-congo-world-cup-2026-last-32,2026-07-02 00:00
2026-07-02,England,ENG,Bukayo Saka,Forwards,Arsenal,final_squad,available_fitness_managed,Managing Achilles issue; decision needed on whether he can start twice in five days,0,,,,rotation_not_locked,Included in squad but do not describe as automatic tournament starter,,,https://www.theguardian.com/football/2026/jul/01/thomas-tuchel-warns-england-dr-congo-world-cup-2026-last-32,2026-07-02 00:00
2026-07-02,England,ENG,Djed Spence,Defenders,Tottenham Hotspur,final_squad,available,Set to start at right-back in place of injured Quansah,0,,,,likely_starter,RB solution for DR Congo match,,,https://www.theguardian.com/football/2026/jul/01/thomas-tuchel-warns-england-dr-congo-world-cup-2026-last-32,2026-07-02 00:00
2026-07-02,England,ENG,Declan Rice,Midfielders,Arsenal,final_squad,available,Expected to return in midfield,0,,,,likely_starter,Key midfield return,,,https://www.theguardian.com/football/2026/jul/01/thomas-tuchel-warns-england-dr-congo-world-cup-2026-last-32,2026-07-02 00:00
2026-07-02,England,ENG,Marcus Rashford,Forwards,Manchester United,final_squad,available,Guardian says Rashford hopes to keep his place on the left,0,,,,likely_starter_or_first_rotation,Do not replace him with Foden in analysis,,,https://www.theguardian.com/football/2026/jul/01/thomas-tuchel-warns-england-dr-congo-world-cup-2026-last-32,2026-07-02 00:00
2026-07-02,United States,USA,Cristian Roldan,Midfielders,Seattle Sounders,final_squad,injury_doubt,U.S. Soccer says he has not appeared and has been dealing with a slight injury,round_of_32,,,,not_expected_to_play,Do not use as USA bench option today,,,https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,2026-07-02 00:00
2026-07-02,United States,USA,Christian Pulisic,Forwards,AC Milan,final_squad,available,Returned after injury-related rotation; U.S. Soccer notes one group-stage lineup change was due to his injury,0,,,,likely_starter,Available but monitor recent calf/injury management,,,https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,2026-07-02 00:00
2026-07-02,Bosnia-Herzegovina,BIH,Mladen Jurkas,Goalkeepers,FK Borac Banja Luka,match_roster_update,available,Listed by U.S. Soccer in Bosnia match roster; absent from ESPN base list,0,,,,squad_option,Official match preview override,,,https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,2026-07-02 00:00
2026-07-02,Bosnia-Herzegovina,BIH,Arjan Malic,Defenders,SK Sturm Graz,match_roster_update,available,Listed by U.S. Soccer in Bosnia match roster; absent from ESPN base list,0,,,,squad_option,Official match preview override,,,https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,2026-07-02 00:00
2026-07-02,Bosnia-Herzegovina,BIH,Osman Hadzikic,Goalkeepers,Slaven Belupo,final_squad,source_conflict,U.S. Soccer match roster lists Mladen Jurkas instead; do not treat as confirmed available today,unknown,,,,availability_uncertain,Needs Bosnia FA/FIFA confirmation before use,,,https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,2026-07-02 00:00
2026-07-02,Bosnia-Herzegovina,BIH,Nidal Celik,Defenders,Lens,final_squad,source_conflict,U.S. Soccer match roster lists Arjan Malic instead; do not treat as confirmed available today,unknown,,,,availability_uncertain,Needs Bosnia FA/FIFA confirmation before use,,,https://www.ussoccer.com/stories/2026/06/usmnt/match-preview-vs-bosnia-herzegovina-san-francisco-bay-california-fifa-world-cup,2026-07-02 00:00
2026-07-02,Senegal,SEN,Édouard Mendy,Goalkeepers,Al Ahli,final_squad,fitness_doubt,Conflicting preview information: some predicted lineups start him while other previews mention knee/availability concern,unknown,,,,uncertain_starter,Do not treat Senegal goalkeeper status as confirmed advantage,,,https://www.si.com/soccer/belgium-vs-senegal-world-cup-preview-predictions-lineups-7-1-26,2026-07-02 00:00
2026-07-02,Argentina,ARG,Leonardo Balerdi,Defenders,Marseille,replaced_out,ruled_out,Argentina confirmed Balerdi suffered a right-leg soleus muscle injury and was replaced on the 26-player roster,tournament,,,,not_available,Must not appear in Argentina later-round analysis,,,https://www.espn.com/soccer/story/_/id/49032417/tottenham-defender-marcos-senesi-called-argentina-world-cup-squad,2026-07-02 00:00
2026-07-02,Argentina,ARG,Marcos Senesi,Defenders,Tottenham Hotspur,replacement_in,available,Called up as Balerdi replacement and now on Argentina 26-player World Cup roster,0,,,,squad_option,Late replacement; use instead of Balerdi,,,https://www.espn.com/soccer/story/_/id/49032417/tottenham-defender-marcos-senesi-called-argentina-world-cup-squad,2026-07-02 00:00
