snapshot_date,team,team_code,player,position_group,club,roster_status,availability_status,absence_note,expected_absence_matches,suspension_status,yellow_card_risk,starting_role,notes,base_roster_source,availability_source,source_url,last_checked_bj
2026-07-04,Argentina,ARG,Cristian Romero,Defenders,Tottenham,final_squad,fitness_doubt,Knee issue; projected by RotoWire but should be monitored close to kickoff,unknown,,,uncertain_starter,If he does not start Otamendi or Senesi depth becomes more relevant,ESPN final 26-player squad list / FIFA submitted roster,RotoWire / Houston Chronicle team news,https://www.rotowire.com/soccer/article/argentina-vs-cape-verde-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-32-120686,2026-07-03 13:25
2026-07-04,Argentina,ARG,Facundo Medina,Defenders,Marseille,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Gonzalo Montiel,Defenders,River Plate,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Leonardo Balerdi,Defenders,Marseille,replaced_out,ruled_out,Argentina confirmed Balerdi suffered a right-leg soleus muscle injury and was replaced on the 26-player roster,tournament,,,not_available,Must not appear in Argentina later-round analysis,ESPN final 26-player squad list / FIFA submitted roster,ESPN replacement report,https://www.espn.com/soccer/story/_/id/49032417/tottenham-defender-marcos-senesi-called-argentina-world-cup-squad,2026-07-03 13:25
2026-07-04,Argentina,ARG,Lisandro Martínez,Defenders,Manchester United,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Marcos Senesi,Defenders,Tottenham Hotspur,replacement_in,available,Called up as Balerdi replacement and now on Argentina 26-player World Cup roster,0,,,squad_option,Late replacement; use instead of Balerdi,,ESPN replacement report,https://www.espn.com/soccer/story/_/id/49032417/tottenham-defender-marcos-senesi-called-argentina-world-cup-squad,2026-07-03 13:25
2026-07-04,Argentina,ARG,Nahuel Molina,Defenders,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Nicolás Otamendi,Defenders,Benfica,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Nicolás Tagliafico,Defenders,Lyon,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Giuliano Simeone,Forwards,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Jose Manuel López,Forwards,Palmeiras,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Julián Álvarez,Forwards,Atlético Madrid,final_squad,available_fitness_managed,Has been working back from ankle issue; starting spot competing with Lautaro Martinez,0,,,rotation_or_alternative_9,Do not assume automatic starter by reputation,ESPN final 26-player squad list / FIFA submitted roster,Houston Chronicle team news,https://www.houstonchronicle.com/la-voz/article/argentina-y-messi-quieren-terminar-con-la-racha-22331084.php,2026-07-03 13:25
2026-07-04,Argentina,ARG,Lautaro Martínez,Forwards,Internazionale,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Lionel Messi,Forwards,Inter Miami,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Nico Paz,Forwards,Como,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Nicolás González,Forwards,Atletico Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Thiago Almada,Forwards,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Emiliano Martínez,Goalkeepers,Aston Villa,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Gerónimo Rulli,Goalkeepers,Marseille,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Juan Musso,Goalkeepers,Atlético Madrid,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Lionel Scaloni,Manager,,manager,active,,,,,manager,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Alexis Mac Allister,Midfielders,Liverpool,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Enzo Fernández,Midfielders,Chelsea,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Exequiel Palacios,Midfielders,Bayer Leverkusen,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Giovani Lo Celso,Midfielders,Real Betis,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Leandro Paredes,Midfielders,Boca Juniors,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Rodrigo De Paul,Midfielders,Inter Miami,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
2026-07-04,Argentina,ARG,Valentín Barco,Midfielders,Strasbourg,final_squad,base_roster_not_daily_verified,,,,,,,ESPN final 26-player squad list / FIFA submitted roster,,https://www.espn.com/soccer/story/_/id/48757621/2026-world-cup-squad-lists-players-announced-all-48-teams,2026-07-03 13:22
